form_id,form_title,field_name,field_id,field_type,field_classes,field_value,has_name,has_id,has_value
admittance,Opname,KEY1949397518year,KEY1949397518year,hidden,['date-tag-select-year'],,True,True,False
admittance,Opname,dummy2,,hidden,[],,True,False,False
admittance,Opname,dummy3,,hidden,[],,True,False,False
admittance,Opname,,,text,['mana-date-tag-input'],,False,False,False
admittance,Opname,date,KEY1949397518,hidden,[],20250615,True,True,True
admittance,Opname,KEY713871515year,KEY713871515year,hidden,['date-tag-select-year'],,True,True,False
admittance,Opname,dummy2,,hidden,[],,True,False,False
admittance,Opname,dummy3,,hidden,[],,True,False,False
admittance,Opname,,,text,['mana-date-tag-input'],,False,False,False
admittance,Opname,endDate,KEY713871515,hidden,[],,True,True,False
admittance,Opname,cage,,text,[],,True,False,False
admittance,Opname,,,submit,[],opslaan,False,False,True
admittance,Opname,clientId,,hidden,[],evisand-8149271326615144540,True,False,True
admittance,Opname,patientId,,hidden,[],evisand-8408085554552371887,True,False,True
admittance,Opname,admittanceId,,hidden,[],,True,False,False
admittance,Opname,location,location,select,[],,True,True,False
admittance,Opname,description,,textarea,[],,True,False,False
attachment,Bijlage,KEY1507024475year,KEY1507024475year,hidden,['date-tag-select-year'],,True,True,False
attachment,Bijlage,dummy2,,hidden,[],,True,False,False
attachment,Bijlage,dummy3,,hidden,[],,True,False,False
attachment,Bijlage,,,text,['mana-date-tag-input'],,False,False,False
attachment,Bijlage,date,KEY1507024475,hidden,[],20250615,True,True,True
attachment,Bijlage,files,attachmentsInput,file,[],,True,True,False
attachment,Bijlage,,addAttachmentsButton,submit,[],toevoegen,False,True,True
attachment,Bijlage,client.id,,hidden,[],evisand-8149271326615144540,True,False,True
attachment,Bijlage,patient.id,,hidden,[],evisand-8408085554552371887,True,False,True
attachment,Bijlage,next,,hidden,[],/web2/patient-dossier-page,True,False,True
attachment,Bijlage,category,categorySelection,select,['form'],,True,True,False
attachment,Bijlage,description,attachmentDescriptionTextArea,textarea,[],,True,True,False
client_order,Bestelling klant,KEY2056528961year,KEY2056528961year,hidden,['date-tag-select-year'],,True,True,False
client_order,Bestelling klant,dummy2,,hidden,[],,True,False,False
client_order,Bestelling klant,dummy3,,hidden,[],,True,False,False
client_order,Bestelling klant,,,text,['mana-date-tag-input'],,False,False,False
client_order,Bestelling klant,date,KEY2056528961,hidden,[],20250615,True,True,True
client_order,Bestelling klant,checkbox-called,,hidden,[],0,True,False,True
client_order,Bestelling klant,called,checkbox_called,checkbox,['cbx'],true,True,True,True
client_order,Bestelling klant,checkbox-ordered,,hidden,[],0,True,False,True
client_order,Bestelling klant,ordered,checkbox_ordered,checkbox,['cbx'],true,True,True,True
client_order,Bestelling klant,checkbox-finished,,hidden,[],0,True,False,True
client_order,Bestelling klant,finished,checkbox_done,checkbox,['cbx'],true,True,True,True
client_order,Bestelling klant,,,submit,[],opslaan,False,False,True
client_order,Bestelling klant,dummyDetailDate,,hidden,[],,True,False,False
client_order,Bestelling klant,dummyDetailName,,hidden,[],,True,False,False
client_order,Bestelling klant,dummyDetailProductId,,hidden,[],,True,False,False
